run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,200,7,"[92.0, 74.0, 36.0, 96.0, 41.0]",61.19099939427891,0,0
1,2,400,94,"[91.85472851121185, 74.02994877184922, 36.199032014905164, 96.08035240404827, 41.03808513616535]",60.49901990995622,45.554319899336804,0
1,3,600,14,"[84.2818538382885, 74.77925921137737, 44.36812493923438, 89.43911013582924, 40.54585009627783]",37.68000271162511,46.61355158004579,0
1,4,800,28,"[84.17308560147106, 74.65477077052283, 44.47348945672741, 89.61972701308935, 40.40192199315916]",36.933517794947015,44.20543189959496,0
1,5,1000,48,"[83.98943359737973, 74.5806459158385, 44.62465496736261, 89.78452207211794, 40.245776131466585]",36.07957899877846,42.58959920762668,0
1,6,1200,72,"[83.90587286285869, 74.43020215955384, 44.78492764726751, 89.92615757077083, 40.06726227752468]",35.2885169839635,41.38053528419833,0
1,7,1400,34,"[83.70816522314394, 74.27639650900302, 44.97415190867449, 90.09509083409695, 39.99729954275713]",34.366603527643605,40.39709653622348,0
1,8,1600,69,"[83.70317216737018, 74.13918268146256, 45.16406367989755, 90.18554578732751, 39.90406286660952]",33.71907351573454,39.56644306338103,0
1,9,1800,99,"[83.55401469954303, 74.24124836326126, 45.33372080397246, 90.30144600215418, 39.94910919838319]",33.10804407694944,38.85516404520329,0
1,10,2000,96,"[83.40682745265869, 74.32197960078649, 45.53064785741216, 90.41261473848691, 39.83835412765824]",32.368529153763575,38.20768385599474,0
1,11,2200,94,"[83.30895084264911, 74.21634590578434, 45.69382442008644, 90.51809009557633, 39.82128604743398]",31.731090638302632,37.621862627324404,0
1,12,2400,96,"[83.18755797000604, 74.02527359824532, 45.80514420277115, 90.71157903092238, 39.8851049111406]",31.05039124318248,37.080220287785146,0
1,13,2600,39,"[83.0725142978912, 73.84356826363137, 45.94045950570183, 90.83750237035704, 39.75012080465513]",30.349476989076948,36.56458897899685,0
1,14,2800,95,"[82.9275277454296, 73.77100706018621, 46.07663323341515, 91.01696594744412, 39.87895118359394]",29.706938777638427,36.078147099840926,0
1,15,3000,64,"[82.83995870380865, 73.83123033311713, 46.22073200301226, 91.2122326869813, 39.707238579052465]",28.924564504242213,35.60443085963316,0
1,16,3200,40,"[82.93426313980592, 73.93182012055081, 46.392515276921806, 91.37787719975269, 39.65892927738846]",28.33091196922395,35.15040996868902,0
1,17,3400,31,"[82.82756484008905, 73.73754237594619, 46.54925080936728, 91.49957130834864, 39.47144385645503]",27.571310102961675,34.70688316819546,0
1,18,3600,64,"[82.65894832408188, 73.70047950935661, 46.657193361484815, 91.69646568040716, 39.27610083693353]",26.791919043733433,34.26810327772262,0
1,19,3800,34,"[82.46959709750152, 73.52477607670153, 46.82499951291387, 91.87915305974327, 39.332542372062164]",25.990674211301283,33.83400884782451,0
1,20,4000,72,"[82.36959306936464, 73.42872316432589, 47.02156834952734, 92.0493082585299, 39.18790972796499]",25.129445916514964,33.40383672506648,0
1,21,4200,66,"[82.219106357129, 73.36328751412165, 47.15594273812197, 92.21810105498281, 39.29034709678614]",24.5013995432493,32.98213110489596,0
1,22,4400,89,"[82.14020324151069, 73.28523880035488, 47.27834365637145, 92.40585122880776, 39.46323737477145]",23.951792730414088,32.57350778746841,0
1,23,4600,45,"[82.00307357445254, 73.13693115627446, 47.40709257433155, 92.54863058462404, 39.35678871180473]",23.288305639848517,32.17093944537102,0
1,24,4800,41,"[81.86073825908694, 73.03872601039299, 47.60416735862136, 92.73278927022622, 39.35983696726149]",22.472712976035446,31.768221771447006,0
1,25,5000,81,"[81.66762491235954, 73.13362381041121, 47.75517580824243, 92.91451140056449, 39.26699264381195]",21.705016140113372,31.366345683303912,0
1,26,5350,26,"[76.78097674320576, 59.53057867363935, 56.85936205997578, 94.21639640841111, 41.81341091940249]",53.543004409835916,30.5048837763698,1
1,27,5700,71,"[76.89937164030303, 59.72635865616996, 56.743486793778054, 94.40443028705634, 41.72072658046536]",52.82564373326476,29.730859238846588,1
1,28,6050,32,"[77.07093833073745, 59.84172617332542, 56.58916722989143, 94.56297063365652, 41.54775614755803]",52.19076229040885,29.03464060245864,1
1,29,6400,48,"[77.21476505677278, 60.021387438314285, 56.41933528954418, 94.6472997836436, 41.38186250226201]",51.4596966191076,28.396758686702942,1
1,30,6600,82,"[81.23538828113193, 73.111247027549, 48.575806193794214, 93.6532300242028, 39.002081448771904]",28.886007497247903,28.426702317525656,1
1,31,6800,36,"[81.40040384377376, 72.95818044286523, 48.7397276809989, 93.80805883806335, 38.92109241041721]",28.35224824052834,28.425917208052493,1
1,32,7000,98,"[81.40718772172937, 73.11196671854418, 48.89435609445399, 94.0046969362551, 38.858049422321685]",27.744684588186594,28.407782639311378,1
1,33,7200,75,"[81.21408806521718, 73.11996253193061, 49.06877341019652, 94.19846681154777, 38.78833388810249]",27.024389634674364,28.370780957115183,1
1,34,7400,98,"[81.03336938801891, 73.08421732723282, 49.25278399515091, 94.29405686685979, 38.61577471825911]",26.367277956945216,28.31721283066103,1
1,35,7600,68,"[80.99643313067881, 73.08685057950579, 49.43866081967263, 94.46199657757211, 38.5688419512139]",25.73101306652864,28.250586465541243,1
1,36,7800,83,"[81.08052263689623, 72.93827525163344, 49.58078991235305, 94.64562568369789, 38.521981289865714]",25.195308432785694,28.173371904978463,1
1,37,8000,92,"[81.11534937670406, 72.9415013451108, 49.762755031326314, 94.84289081459457, 38.33832716016722]",24.475738619433287,28.08118515891252,1
1,38,8200,33,"[81.12216388973829, 73.01101366193629, 49.88502576854769, 95.02594523725209, 38.139403007281445]",23.897200930708877,27.980173255189797,1
1,39,8400,88,"[81.16712132313154, 73.14442416928017, 50.081757543147276, 95.1855190972323, 37.989354537872686]",23.25449666897999,27.86889258540946,1
1,40,8600,78,"[81.04310097004367, 73.03957019480032, 50.274650843414115, 95.32708295433369, 38.00876557740433]",22.625087752742886,27.747750983643712,1
1,41,8800,57,"[80.9727744419613, 73.18488774393313, 50.44307856536762, 95.50872161937039, 38.16894948808779]",22.121184216921712,27.619942749564512,1
1,42,9000,80,"[81.00146053246144, 73.30928844410245, 50.636316167017156, 95.67192223548854, 38.01136704128386]",21.48530740040153,27.484199043154742,1
1,43,9200,93,"[81.02087259994214, 73.20940187806819, 50.80047945524746, 95.8144447818505, 37.85761699505108]",20.899163305506377,27.34228842030179,1
1,44,9400,68,"[80.86066919136259, 73.03785156708176, 50.965172846639234, 95.99980706299161, 37.86904216205914]",20.270933894290344,27.19207057193745,1
1,45,9600,33,"[80.7232929256143, 72.97763425947088, 51.16195774761412, 96.17478579615911, 37.83456074989941]",19.61906090965494,27.035371894483955,1
1,46,9800,91,"[80.52423348204539, 73.02888621274094, 51.34099069509376, 96.32979556345403, 37.63646265352119]",19.01104353323175,26.872162159290777,1
1,47,10000,35,"[80.68314567334943, 73.0271266955297, 51.50240550046292, 96.49939879690419, 37.66014573578094]",18.53084642233369,26.70594542933338,1
